[INFO] [1722541455.801105075] [beswarm_action_server]: Executing goal...
[INFO] [1722541455.815056375] [beswarm_action_server]: x: 0.0; y: 0.0
[INFO] [1722541455.923639784] [beswarm_action_server]: x: 0.0; y: 0.0
[INFO] [1722541456.029336831] [beswarm_action_server]: x: 0.0; y: 0.0
[INFO] [1722541456.145677397] [beswarm_action_server]: x: 0.0; y: 0.0
[INFO] [1722541456.249554838] [beswarm_action_server]: x: 0.0; y: 0.0
[INFO] [1722541456.434643572] [listener_server_pub__]: Iteration: 1 Mean fit: 4.066987867383871
[INFO] [1722541456.477906365] [listener_server_pub__]: Iteration: 2 Mean fit: 4.286141148207147
[INFO] [1722541456.498657568] [listener_server_pub__]: Iteration: 3 Mean fit: 4.6917466707018916
[INFO] [1722541456.541085703] [listener_server_pub__]: Iteration: 4 Mean fit: 5.293416879474025
[INFO] [1722541456.585789699] [listener_server_pub__]: Iteration: 5 Mean fit: 6.093935111576572
[INFO] [1722541456.631145435] [listener_server_pub__]: Iteration: 6 Mean fit: 6.105343645106775
[INFO] [1722541456.686207576] [listener_server_pub__]: Iteration: 7 Mean fit: 6.113920332224485
[INFO] [1722541456.703085395] [listener_server_pub__]: Iteration: 8 Mean fit: 6.118227191215839
[INFO] [1722541456.730121102] [listener_server_pub__]: Iteration: 9 Mean fit: 6.120672997747298
[INFO] [1722541456.751646061] [listener_server_pub__]: Iteration: 10 Mean fit: 6.1222256850243
[INFO] [1722541456.776461378] [listener_server_pub__]: Iteration: 11 Mean fit: 6.143529694841535
[INFO] [1722541456.791212843] [listener_server_pub__]: Iteration: 12 Mean fit: 6.1565553362819445
[INFO] [1722541456.817236625] [listener_server_pub__]: Iteration: 13 Mean fit: 6.163420524462484
[INFO] [1722541456.836909425] [listener_server_pub__]: Iteration: 14 Mean fit: 6.1675129545200935
[INFO] [1722541456.863713017] [listener_server_pub__]: Iteration: 15 Mean fit: 6.17020475726815
[INFO] [1722541456.885791207] [listener_server_pub__]: Iteration: 16 Mean fit: 6.184752972205145
[INFO] [1722541456.905115293] [listener_server_pub__]: Iteration: 17 Mean fit: 6.19845123951897
[INFO] [1722541456.922284788] [listener_server_pub__]: Iteration: 18 Mean fit: 6.208672222091911
[INFO] [1722541456.944346290] [listener_server_pub__]: Iteration: 19 Mean fit: 6.215996701562106
[INFO] [1722541456.963963520] [listener_server_pub__]: Iteration: 20 Mean fit: 6.220728659093491
[INFO] [1722541456.985855043] [listener_server_pub__]: Iteration: 21 Mean fit: 6.236672783100295
[INFO] [1722541457.005662641] [listener_server_pub__]: Iteration: 22 Mean fit: 6.255002917099065
[INFO] [1722541457.023323723] [listener_server_pub__]: Iteration: 23 Mean fit: 6.266166537182145
[INFO] [1722541457.038098480] [listener_server_pub__]: Iteration: 24 Mean fit: 6.273007376444776
[INFO] [1722541457.055145950] [listener_server_pub__]: Iteration: 25 Mean fit: 6.279664336133465
[INFO] [1722541457.072558216] [listener_server_pub__]: Iteration: 26 Mean fit: 6.291458241530764
[INFO] [1722541457.090105580] [listener_server_pub__]: Iteration: 27 Mean fit: 6.305753777734549
