[INFO] [1722534426.321205865] [beswarm_action_server]: Executing goal...
[INFO] [1722534426.330924854] [beswarm_action_server]: x: 1.0; y: 0.0
[INFO] [1722534426.440525743] [beswarm_action_server]: x: 0.0; y: 0.0
[INFO] [1722534426.544148000] [beswarm_action_server]: x: 0.0; y: 0.0
[INFO] [1722534426.655765661] [beswarm_action_server]: x: 0.0; y: 0.0
[INFO] [1722534426.772381127] [beswarm_action_server]: x: 0.0; y: 0.0
[INFO] [1722534426.937796940] [listener_server_pub__]: Iteration: 1 Mean fit: 4.05569220511036
[INFO] [1722534426.986486859] [listener_server_pub__]: Iteration: 2 Mean fit: 4.953332704201443
[INFO] [1722534427.005203194] [listener_server_pub__]: Iteration: 3 Mean fit: 6.226746942261743
[INFO] [1722534427.050151781] [listener_server_pub__]: Iteration: 4 Mean fit: 7.780382907861414
[INFO] [1722534427.085303667] [listener_server_pub__]: Iteration: 5 Mean fit: 9.569890895516028
[INFO] [1722534427.123279165] [listener_server_pub__]: Iteration: 6 Mean fit: 9.61580344074115
[INFO] [1722534427.161626073] [listener_server_pub__]: Iteration: 7 Mean fit: 9.649262673195848
[INFO] [1722534427.202082758] [listener_server_pub__]: Iteration: 8 Mean fit: 9.720771475741529
[INFO] [1722534427.221302018] [listener_server_pub__]: Iteration: 9 Mean fit: 9.856856554934211
[INFO] [1722534427.241287704] [listener_server_pub__]: Iteration: 10 Mean fit: 10.034296668489198
[INFO] [1722534427.255308755] [listener_server_pub__]: Iteration: 11 Mean fit: 10.084958978770915
[INFO] [1722534427.274155393] [listener_server_pub__]: Iteration: 12 Mean fit: 10.084572578746107
[INFO] [1722534427.302037319] [listener_server_pub__]: Iteration: 13 Mean fit: 10.098757633965734
[INFO] [1722534427.325687795] [listener_server_pub__]: Iteration: 14 Mean fit: 10.149059039363264
[INFO] [1722534427.351020050] [listener_server_pub__]: Iteration: 15 Mean fit: 10.226003071590652
[INFO] [1722534427.374843541] [listener_server_pub__]: Iteration: 16 Mean fit: 10.232909027512253
[INFO] [1722534427.401563191] [listener_server_pub__]: Iteration: 17 Mean fit: 10.190183809472499
