[INFO] [1722535538.431427221] [beswarm_action_server]: Executing goal...
[INFO] [1722535538.449215087] [beswarm_action_server]: x: 0.0; y: 0.0
[INFO] [1722535538.573445967] [beswarm_action_server]: x: 0.0; y: 0.0
[INFO] [1722535538.680294090] [beswarm_action_server]: x: 0.0; y: 0.0
[INFO] [1722535538.782622605] [beswarm_action_server]: x: 0.0; y: 0.0
[INFO] [1722535538.891980951] [beswarm_action_server]: x: 0.0; y: 0.0
[INFO] [1722535539.068366128] [listener_server_pub__]: Iteration: 1 Mean fit: 4.091771182564658
[INFO] [1722535539.112735814] [listener_server_pub__]: Iteration: 2 Mean fit: 5.004285401211825
[INFO] [1722535539.152564604] [listener_server_pub__]: Iteration: 3 Mean fit: 6.199238506967289
[INFO] [1722535539.196013586] [listener_server_pub__]: Iteration: 4 Mean fit: 7.789174509638206
[INFO] [1722535539.236882947] [listener_server_pub__]: Iteration: 5 Mean fit: 9.563575180472549
[INFO] [1722535539.283075103] [listener_server_pub__]: Iteration: 6 Mean fit: 9.604146977798957
[INFO] [1722535539.318799263] [listener_server_pub__]: Iteration: 7 Mean fit: 9.626426137986101
[INFO] [1722535539.348033279] [listener_server_pub__]: Iteration: 8 Mean fit: 9.757759039484437
[INFO] [1722535539.376485533] [listener_server_pub__]: Iteration: 9 Mean fit: 9.896825171245549
[INFO] [1722535539.404833056] [listener_server_pub__]: Iteration: 10 Mean fit: 10.089529098622295
[INFO] [1722535539.433972345] [listener_server_pub__]: Iteration: 11 Mean fit: 10.110523720855742
[INFO] [1722535539.456063809] [listener_server_pub__]: Iteration: 12 Mean fit: 10.066398287017831
[INFO] [1722535539.491779527] [listener_server_pub__]: Iteration: 13 Mean fit: 10.10367795415225
[INFO] [1722535539.511675640] [listener_server_pub__]: Iteration: 14 Mean fit: 10.115537476643727
[INFO] [1722535539.540777487] [listener_server_pub__]: Iteration: 15 Mean fit: 10.210586711631692
[INFO] [1722535539.573791737] [listener_server_pub__]: Iteration: 16 Mean fit: 10.17868983339775
[INFO] [1722535539.597769146] [listener_server_pub__]: Iteration: 17 Mean fit: 10.090642389952567
[INFO] [1722535539.619584694] [listener_server_pub__]: Iteration: 18 Mean fit: 10.063430823270654
[INFO] [1722535539.644979006] [listener_server_pub__]: Iteration: 19 Mean fit: 10.016042664772572
[INFO] [1722535539.677272578] [listener_server_pub__]: Iteration: 20 Mean fit: 10.051556180734114
[INFO] [1722535539.705722254] [listener_server_pub__]: Iteration: 21 Mean fit: 9.991691474933116
[INFO] [1722535539.723562365] [listener_server_pub__]: Iteration: 22 Mean fit: 9.996673824167221
[INFO] [1722535539.744812851] [listener_server_pub__]: Iteration: 23 Mean fit: 9.935910491474106
[INFO] [1722535539.766192561] [listener_server_pub__]: Iteration: 24 Mean fit: 9.842884007609111
[INFO] [1722535539.781426623] [listener_server_pub__]: Iteration: 25 Mean fit: 9.822214032166706
[INFO] [1722535539.798965963] [listener_server_pub__]: Iteration: 26 Mean fit: 9.781428063186588
[INFO] [1722535539.806871023] [listener_server_pub__]: Iteration: 27 Mean fit: 9.888105638621848
[INFO] [1722535539.826767505] [listener_server_pub__]: Iteration: 28 Mean fit: 9.824046088998386
[INFO] [1722535539.845706868] [listener_server_pub__]: Iteration: 29 Mean fit: 9.768075009648197
[INFO] [1722535539.864847466] [listener_server_pub__]: Iteration: 30 Mean fit: 9.722019784834426
[INFO] [1722535539.885864586] [listener_server_pub__]: Iteration: 31 Mean fit: 9.704243475678206
[INFO] [1722535539.907863390] [listener_server_pub__]: Iteration: 32 Mean fit: 9.832961905850327
[INFO] [1722535539.929827785] [listener_server_pub__]: Iteration: 33 Mean fit: 9.806654533650843
[INFO] [1722535539.953279487] [listener_server_pub__]: Iteration: 34 Mean fit: 9.808784449659623
[INFO] [1722535539.980643992] [listener_server_pub__]: Iteration: 35 Mean fit: 9.729841435244174
[INFO] [1722535540.002408597] [listener_server_pub__]: Iteration: 36 Mean fit: 9.757489542745645
[INFO] [1722535540.023386511] [listener_server_pub__]: Iteration: 37 Mean fit: 9.953175283458524
[INFO] [1722535540.047994531] [listener_server_pub__]: Iteration: 38 Mean fit: 10.013573723896858
[INFO] [1722535540.069028191] [listener_server_pub__]: Iteration: 39 Mean fit: 10.124256018273119
[INFO] [1722535540.091298289] [listener_server_pub__]: Iteration: 40 Mean fit: 10.070354898013562
[INFO] [1722535540.118479900] [listener_server_pub__]: Iteration: 41 Mean fit: 10.139007249713842
[INFO] [1722535540.140893730] [listener_server_pub__]: Iteration: 42 Mean fit: 10.262132470367883
[INFO] [1722535540.162395063] [listener_server_pub__]: Iteration: 43 Mean fit: 10.380479255320392
[INFO] [1722535540.185137873] [listener_server_pub__]: Iteration: 44 Mean fit: 10.54092714507318
[INFO] [1722535540.210937207] [listener_server_pub__]: Iteration: 45 Mean fit: 10.571611248806752
[INFO] [1722535540.233038953] [listener_server_pub__]: Iteration: 46 Mean fit: 10.647254262812273
[INFO] [1722535540.257578882] [listener_server_pub__]: Iteration: 47 Mean fit: 10.73144805074153
[INFO] [1722535540.273909519] [listener_server_pub__]: Iteration: 48 Mean fit: 10.850236506913813
[INFO] [1722535540.292323527] [listener_server_pub__]: Iteration: 49 Mean fit: 10.937723353596004
[INFO] [1722535540.310844157] [listener_server_pub__]: Iteration: 50 Mean fit: 11.037754773101877
[INFO] [1722535540.329687955] [listener_server_pub__]: Iteration: 51 Mean fit: 11.077695051477695
[INFO] [1722535540.358605801] [listener_server_pub__]: Iteration: 52 Mean fit: 11.128717591206252
[INFO] [1722535540.377700946] [listener_server_pub__]: Iteration: 53 Mean fit: 11.187472395664113
[INFO] [1722535540.391778662] [listener_server_pub__]: Iteration: 54 Mean fit: 11.242506485520535
[INFO] [1722535540.414912169] [listener_server_pub__]: Iteration: 55 Mean fit: 11.329246197991523
[INFO] [1722535540.440695944] [listener_server_pub__]: Iteration: 56 Mean fit: 11.36011844732432
[INFO] [1722535540.456994249] [listener_server_pub__]: Iteration: 57 Mean fit: 11.401507038493147
[INFO] [1722535540.482510763] [listener_server_pub__]: Iteration: 58 Mean fit: 11.4289061435355
[INFO] [1722535540.502229062] [listener_server_pub__]: Iteration: 59 Mean fit: 11.448453997867162
[INFO] [1722535540.519642295] [listener_server_pub__]: Iteration: 60 Mean fit: 11.520827340985369
[INFO] [1722535540.538695028] [listener_server_pub__]: Iteration: 61 Mean fit: 11.535489195686512
