[INFO] [1722534830.730494383] [beswarm_action_server]: Executing goal...
[INFO] [1722534830.760622093] [beswarm_action_server]: x: 0.0; y: 0.0
[INFO] [1722534830.867497803] [beswarm_action_server]: x: 0.0; y: 0.0
[INFO] [1722534830.974589643] [beswarm_action_server]: x: 0.0; y: 0.0
[INFO] [1722534831.087610487] [beswarm_action_server]: x: 0.0; y: 0.0
[INFO] [1722534831.194457460] [beswarm_action_server]: x: 0.0; y: 0.0
[INFO] [1722534831.350880795] [listener_server_pub__]: Iteration: 1 Mean fit: 4.0418481086459375
[INFO] [1722534831.379606407] [listener_server_pub__]: Iteration: 2 Mean fit: 4.884928101289768
[INFO] [1722534831.402366394] [listener_server_pub__]: Iteration: 3 Mean fit: 6.079881207045231
[INFO] [1722534831.439150553] [listener_server_pub__]: Iteration: 4 Mean fit: 7.65194310785329
[INFO] [1722534831.461498765] [listener_server_pub__]: Iteration: 5 Mean fit: 9.385549863374381
[INFO] [1722534831.556355715] [listener_server_pub__]: Iteration: 6 Mean fit: 9.399393959838804
[INFO] [1722534831.576978559] [listener_server_pub__]: Iteration: 7 Mean fit: 9.462277847170608
[INFO] [1722534831.622781932] [listener_server_pub__]: Iteration: 8 Mean fit: 9.57545682522682
[INFO] [1722534831.647289216] [listener_server_pub__]: Iteration: 9 Mean fit: 9.693115969211116
[INFO] [1722534831.668702689] [listener_server_pub__]: Iteration: 10 Mean fit: 9.8200866650106
[INFO] [1722534831.693437138] [listener_server_pub__]: Iteration: 11 Mean fit: 9.913907269369242
[INFO] [1722534831.719283704] [listener_server_pub__]: Iteration: 12 Mean fit: 9.947733812869146
[INFO] [1722534831.740023877] [listener_server_pub__]: Iteration: 13 Mean fit: 9.992030147783968
[INFO] [1722534831.766000351] [listener_server_pub__]: Iteration: 14 Mean fit: 10.039565952685493
[INFO] [1722534831.788349834] [listener_server_pub__]: Iteration: 15 Mean fit: 10.179439280896336
[INFO] [1722534831.815232698] [listener_server_pub__]: Iteration: 16 Mean fit: 10.191694720778989
[INFO] [1722534831.834078669] [listener_server_pub__]: Iteration: 17 Mean fit: 10.182020672739622
[INFO] [1722534831.857566210] [listener_server_pub__]: Iteration: 18 Mean fit: 10.179573187475768
[INFO] [1722534831.879022671] [listener_server_pub__]: Iteration: 19 Mean fit: 10.17848502980137
[INFO] [1722534831.896963399] [listener_server_pub__]: Iteration: 20 Mean fit: 10.247541259231378
[INFO] [1722534831.923528523] [listener_server_pub__]: Iteration: 21 Mean fit: 10.23225599835292
[INFO] [1722534831.943502441] [listener_server_pub__]: Iteration: 22 Mean fit: 10.197976295098309
[INFO] [1722534831.960953390] [listener_server_pub__]: Iteration: 23 Mean fit: 10.158426324669586
[INFO] [1722534831.983204191] [listener_server_pub__]: Iteration: 24 Mean fit: 10.10847857847126
